customer_id,order_date,revenue
CUST-0001,2023-06-13,486.36
CUST-0001,2023-04-11,209.7
CUST-0001,2023-07-31,182.73
CUST-0001,2023-07-25,289.24
CUST-0001,2023-11-14,349.96
CUST-0001,2023-11-15,483.89
CUST-0001,2024-06-02,593.82
CUST-0001,2024-05-26,160.57
CUST-0001,2024-06-15,383.02
CUST-0002,2023-03-13,392.37
CUST-0002,2023-05-10,318.25
CUST-0002,2023-05-16,178.61
CUST-0002,2023-06-28,147.75
CUST-0002,2023-09-25,152.34
CUST-0002,2023-12-04,42.09
CUST-0002,2023-11-02,504.83
CUST-0002,2023-11-29,189.86
CUST-0003,2023-03-06,527.95
CUST-0003,2023-06-01,374.98
CUST-0003,2023-05-03,73.18
CUST-0003,2023-08-04,220.9
CUST-0003,2023-07-21,497.15
CUST-0003,2023-11-05,588.1
CUST-0003,2024-02-04,378.83
CUST-0003,2024-02-22,397.28
CUST-0003,2024-05-31,124.44
CUST-0003,2024-05-20,174.16
CUST-0004,2023-01-01,208.24
CUST-0004,2023-03-01,529.48
CUST-0004,2023-05-29,113.7
CUST-0004,2023-09-14,569.17
CUST-0004,2023-08-24,359.04
CUST-0004,2023-09-19,121.46
CUST-0005,2023-03-20,399.28
CUST-0005,2023-02-21,250.72
CUST-0005,2023-06-27,174.11
CUST-0005,2023-05-07,61.31
CUST-0005,2023-09-16,301.93
CUST-0005,2023-09-06,220.41
CUST-0005,2023-08-18,460.74
CUST-0006,2023-03-28,408.35
CUST-0006,2023-03-06,333.29
CUST-0006,2023-05-09,232.76
CUST-0006,2023-06-17,370.56
CUST-0006,2023-08-30,239.03
CUST-0006,2024-02-16,468.54
CUST-0006,2024-03-11,124.59
CUST-0006,2024-03-21,562.71
CUST-0007,2023-02-07,496.54
CUST-0007,2023-03-28,391.94
CUST-0007,2023-01-02,484.09
CUST-0007,2023-05-16,446.48
CUST-0007,2023-04-21,151.17
CUST-0007,2023-04-21,243.35
CUST-0007,2023-07-16,233.79
CUST-0008,2023-02-15,331.85
CUST-0008,2023-06-19,455.95
CUST-0008,2023-05-22,278.92
CUST-0008,2023-05-22,531.79
CUST-0008,2023-08-06,556.75
CUST-0008,2023-07-09,280.8
CUST-0008,2024-01-15,572.53
CUST-0009,2023-01-12,584.07
CUST-0009,2023-02-26,226.3
CUST-0009,2023-05-06,153.63
CUST-0009,2023-04-16,159.23
CUST-0009,2023-07-27,510.49
CUST-0010,2023-02-10,211.73
CUST-0010,2023-02-28,578.36
CUST-0010,2023-03-09,391.74
CUST-0010,2023-05-07,142.98
CUST-0010,2023-05-27,74.64
CUST-0010,2023-08-06,467.86
CUST-0010,2023-09-01,448.79
CUST-0010,2023-09-11,103.39
CUST-0011,2023-01-02,181.55
CUST-0011,2023-03-04,145.0
CUST-0011,2023-09-25,61.83
CUST-0011,2024-01-28,132.97
CUST-0011,2024-02-22,419.61
CUST-0011,2024-04-02,213.92
CUST-0012,2023-01-04,488.93
CUST-0012,2023-02-11,518.25
CUST-0012,2023-04-02,229.65
CUST-0012,2023-04-05,218.08
CUST-0012,2023-04-14,390.9
CUST-0012,2023-07-12,215.68
CUST-0012,2023-11-28,486.39
CUST-0012,2023-12-16,112.32
CUST-0012,2023-12-13,534.27
CUST-0012,2024-02-14,361.24
CUST-0012,2024-01-18,397.7
CUST-0012,2024-01-24,93.9
CUST-0012,2024-05-11,393.89
CUST-0012,2024-05-29,501.38
CUST-0013,2023-02-27,160.22
CUST-0013,2023-01-15,569.09
CUST-0013,2023-06-19,181.55
CUST-0013,2023-05-04,295.65
CUST-0013,2024-02-28,96.62
CUST-0013,2024-02-22,114.88
CUST-0013,2024-02-03,410.97
CUST-0013,2024-06-13,251.04
CUST-0013,2024-04-28,342.13
CUST-0013,2024-05-04,160.43
CUST-0014,2023-03-08,364.27
CUST-0014,2023-03-19,83.43
CUST-0014,2023-04-18,113.4
CUST-0014,2023-08-14,113.18
CUST-0014,2023-07-12,85.51
CUST-0014,2023-09-04,190.78
CUST-0015,2023-01-02,535.0
CUST-0015,2023-02-08,250.21
CUST-0015,2023-01-28,94.21
CUST-0015,2023-05-29,474.83
CUST-0015,2023-06-04,502.43
CUST-0015,2023-06-15,247.61
CUST-0015,2023-09-03,330.51
CUST-0015,2023-07-06,464.18
CUST-0015,2023-09-11,189.09
CUST-0016,2023-01-12,598.19
CUST-0016,2023-08-26,512.09
CUST-0016,2023-09-22,475.18
CUST-0016,2023-08-23,399.09
CUST-0016,2023-10-18,465.32
CUST-0016,2023-10-17,464.31
CUST-0016,2024-03-05,289.09
CUST-0016,2024-05-04,275.07
CUST-0017,2023-02-18,444.12
CUST-0017,2023-03-10,505.16
CUST-0017,2023-02-03,554.9
CUST-0017,2023-05-05,117.18
CUST-0017,2023-04-03,596.05
CUST-0017,2023-07-12,439.1
CUST-0017,2023-07-14,502.18
CUST-0017,2023-08-03,109.09
CUST-0018,2023-02-17,289.91
CUST-0018,2023-02-21,460.22
CUST-0018,2023-03-18,552.08
CUST-0018,2023-06-06,470.7
CUST-0018,2023-07-14,305.11
CUST-0019,2023-01-23,71.79
CUST-0019,2023-06-23,537.67
CUST-0019,2023-06-28,553.14
CUST-0019,2023-07-22,260.7
CUST-0019,2023-09-05,109.95
CUST-0020,2023-02-20,311.18
CUST-0020,2023-06-23,415.12
CUST-0020,2023-04-17,188.88
CUST-0020,2023-04-24,198.45
CUST-0020,2023-09-12,391.98
CUST-0020,2023-08-15,340.28
CUST-0021,2023-01-13,103.39
CUST-0021,2023-06-27,567.29
CUST-0021,2023-04-22,583.15
CUST-0021,2023-09-12,323.63
CUST-0022,2023-01-31,77.18
CUST-0022,2023-05-16,300.44
CUST-0022,2023-04-22,533.28
CUST-0022,2023-09-06,504.23
CUST-0022,2024-03-08,436.32
CUST-0022,2024-01-27,421.63
CUST-0022,2024-03-16,451.98
CUST-0023,2023-03-23,374.12
CUST-0023,2023-03-28,564.52
CUST-0023,2023-05-23,328.1
CUST-0023,2023-07-25,580.64
CUST-0024,2023-01-20,272.45
CUST-0024,2023-04-01,507.63
CUST-0024,2023-06-01,227.64
CUST-0024,2023-08-29,157.06
CUST-0024,2023-07-04,470.74
CUST-0024,2023-10-12,447.59
CUST-0024,2023-10-06,48.64
CUST-0024,2024-03-26,302.46
CUST-0024,2024-02-12,443.45
CUST-0025,2023-03-23,393.4
CUST-0025,2023-02-10,348.42
CUST-0025,2023-04-07,372.21
CUST-0025,2023-04-29,149.51
CUST-0025,2023-04-20,532.07
CUST-0025,2023-07-18,294.4
CUST-0025,2023-09-13,436.1
CUST-0025,2023-10-10,491.95
CUST-0025,2023-11-19,300.86
CUST-0025,2023-12-13,498.59
CUST-0025,2024-05-03,399.42
CUST-0025,2024-05-31,267.43
CUST-0026,2023-01-31,503.02
CUST-0026,2023-05-04,513.05
CUST-0026,2023-04-08,290.48
CUST-0026,2023-06-09,439.22
CUST-0026,2023-07-04,258.29
CUST-0026,2023-09-15,364.54
CUST-0026,2023-09-15,352.38
CUST-0026,2023-11-29,419.5
CUST-0026,2023-10-23,275.55
CUST-0026,2023-11-21,142.75
CUST-0026,2024-01-27,204.04
CUST-0026,2024-01-23,599.47
CUST-0026,2024-05-16,290.53
CUST-0026,2024-05-02,248.11
CUST-0027,2023-08-31,81.04
